smiles,logCMC
CCCCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],0.662757832
CCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,0.643452676
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],1.093421685
CCCCCCCCS(=O)CCO,1.361727836
CCCCSCC(O)C(O)C(O)CO,2.255272505
CCCCCCCCCOCC(O)C(O)C(O)CO,0.311753861
CCCCCCCCCCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,0.301029996
CCCCCCCCCCCC[N+](C)(C)CCCCCC.[Br-],0.491361694
CCCCCCCCCCCCCC=CC(O)C(CO)NC(=O)CCCCC,-2.30980392
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],0.591064607
CC(C)CCCC(C)CCCC(C)CCOC1OC[C@H](O)[C@H](O)[C@H]1O,-2.22184875
CCCCCCCC(=O)OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.667452953
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCC,-2.302770657
CCCCCCCCOCC#CCOCC1OC(O)C(O)C(O)C1O,-1.22184875
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],0.462397998
CCCCCCCCCC[N+](C)(C)C.[Cl-],1.832508913
CCC(CC)COCCOCCOCCOCCOCCOCCO,1.980003372
CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,-2.283996656
CCCCCCS(=O)CCCCO,2.322219295
CCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(CO)C(O)C(O)C1O)[C@H](O)CO)CCN(CCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(CO)C(O)C(O)C1O)[C@H](O)CO,-0.886056648
CCCCCCCCOCCOCCOCCOCCO,0.903089987
CCCCCCCCCCCC(=O)NC1CCOC1=O,-2.397940009
CCCCCCCCCCCC(O)N(CCOCCOCCOCCOC)CCOCCOCCOCCOC,-0.610833916
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],0.130333768
CCCCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-1.300162274
CCCCCCCCCCCC(=O)OCC1OC(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,-0.369572125
CC(C)CCCC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-2.387216143
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],-0.13667714
CCCCCCS(=O)CCCO,2.397940009
CC(C)CCCC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,-1.669586227
CCCCCCOCCOCCOCCOCCOCCO,2.053078443
CCCCCCCCCCCCOCCCCOCC1OC(O)C(O)C(O)C1O,-1.638272164
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCCCCCC3CCCCC3)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,-0.250263684
CCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,0.963787827
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.0
CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,1.653212514
CCCCCCCCCCCCOCCOCCO,-1.480828536
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1.230448921
CCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-0.600326279
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,-2.769551079
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],1.301029996
CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,0.929418926
CCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,0.716003344
CCCCCCCCCCCCCC=CC(O)C(CO)NC(C)=O,-2.22184875
CCCCCCCCCCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,0.342422681
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.113943352
CCCCSC[C@H](O)[C@@H](O)[C@H](O)CO,2.255272505
OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.447158031
CCCCCCCCCCOCCOCCOCCOCCOCCO,-0.091514981
CCCCC(=O)OCC(O)C(O)C(O)CO,2.089905111
CCCCCCOCCOCCOCCOCCO,2.025305865
CCCCCCCCOCCOCCOCCO,0.872447648
OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.681241237
CCCCCCCC(CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.899820502
CCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,0.321184027
CCCCCCCCCCCC(=O)OCC1(OC2OC(CO)C(O)C(O)C2O)OC(O)C(O)C1O,-0.469800302
CCCCCCCCCC[N+](C)(C)CC(=O)[O-],1.255272505
CCCCCCCCc1ccc(OCCOCCO)cc1,-1.11577123
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,-1.609781681
